Data Path: ./, Data Count: 6796
9	a	8	0
1	a	1	0
17	a	1	0
48	a	2	0
17	a	1	0
19	a	9	0
13	a	23	0
13	a	11	0
35	a	33	0
39	a	33	0
43	a	22	0
17	a	32	0
39	a	40	0
37	a	40	0
45	a	45	0
17	a	17	0
49	a	13	0
13	a	23	0
50	a	37	0
40	a	37	0
55	a	8	0
51	a	32	0
60	a	2	0
39	a	8	0
59	a	59	0
61	a	58	0
25	a	61	0
2089740	a	61	0
25	a	61	0
59	b	20010	0
72	a	9	0
61	a	39	0
36	a	39	0
146270	a	72	0
34	a	39	0
60	a	72	0
17	a	72	0
58	a	72	0
26	a	26	0
35	a	58	0
26	a	58	0
35	c	48	0
59	a	78	0
72	a	48	0
72	a	58	0
71	a	48	0
42	a	58	0
86	a	58	0
146637	a	37	0
71	a	30	0
80	a	87	0
44	a	87	0
146637	a	30	0
59	a	30	0
146637	a	59	0
9	a	72	0
70	a	30	0
42	a	39	0
17	a	48	0
33	a	39	0
17	a	83	0
30	a	91	0
93	a	58	0
59	a	83	0
86	a	78	0
55	a	78	0
80	a	83	0
71	a	60	0
50	a	2089740	0
91	b	17	0
35	a	71	0
50	a	91	0
39	a	91	0
96	a	91	0
91	a	1	0
71	a	62	0
91	c	62	1
48	a	91	1
34	a	91	1
71	a	91	1
91	b	48	1
55	a	146637	1
55	a	91	1
34	a	105	1
101	a	105	1
91	a	91	1
40	a	146637	1
106	a	96	1
109	a	109	1
91	a	109	1
40	a	91	1
49	a	109	1
106	c	71	1
91	a	71	1
49	a	91	1
55	a	106	1
59	a	59	1
58	a	59	1
59	a	63	1
50	a	59	1
61	c	111	1
59	a	61	1
100	c	106	1
59	a	111	1
100	a	91	1
50	a	61	1
5	a	32	1
116	a	61	1
116	a	106	1
119	a	91	1
109	a	106	1
80	a	115	1
117	a	106	1
122	a	115	1
116	a	61	1
124	a	49	1
122	a	122	1
118	a	115	1
134	a	134	1
91	a	134	1
136	a	49	1
135	a	25	1
137	a	91	1
137	a	40	1
123	a	72	1
136	a	91	1
17	a	49	1
144	a	2	1
147	a	111	1
49	a	71	1
147	a	136	1
50	a	147	1
143	a	77	1
150	a	83	1
153	a	147	1
136	a	151	1
154	a	83	1
156	a	61	1
154	a	111	1
86	a	2089740	1
86	a	104	1
157	a	13	1
86	a	105	1
161	a	147	1
156	a	61	1
156	a	154	1
157	a	2089740	1
154	a	78	1
157	a	154	1
156	a	134	1
136	a	136	1
154	a	25	1
58	a	25	1
163	a	49	2
39	a	25	2
149	a	91	2
34	a	91	2
116	a	157	2
116	a	91	2
111	a	91	2
116	a	116	2
76	a	91	2
175	a	49	2
175	a	83	2
156	a	61	2
13	a	25	2
173	a	172	2
183	a	151	2
154	a	184	2
122	a	136	2
33	a	172	2
188	a	111	2
91	a	143	2
197	a	154	2
197	a	191	2
197	a	104	2
117	a	115	2
199	a	146637	2
51	a	40	2
200	a	59	2
51	a	191	2
34	a	115	2
209	a	49	2
206	a	32	2
30	a	91	2
111	a	199	2
200	a	204	2
46	a	91	2
51	a	91	2
91	a	111	2
34	a	111	2
27	a	111	2
216	a	136	2
205	a	192	2
145	a	199	2
173	a	91	2
154	a	199	2
192	a	192	2
58	a	192	2
199	a	199	2
219	a	192	2
142	a	192	2
34	a	192	2
214	a	214	2
51	a	214	2
214	a	96	2
175	a	214	2
175	a	192	2
157	a	79	2
150	a	1384652	2
229	a	79	2
189	a	207	2
175	a	143	2
175	a	184	2
157	a	157	2
227	a	192	2
227	a	9	2
230	a	111	2
1384652	a	1384652	2
234	a	9	2
233	a	233	2
91	a	233	2
234	a	233	2
200	a	101	2
204	a	204	2
224	a	224	2
60	a	186	2
101	a	101	2
93	a	238	2
34	a	93	2
91	a	93	2
233	a	233	3
150	a	203	3
91	a	203	3
34	a	203	3
34	a	58	3
58	a	58	3
159	a	101	3
91	a	58	3
153	a	203	3
91	a	131	3
200	a	131	3
